br_inst_retired.all_branches_pebs:u,br_misp_retired.all_branches_pebs:u,cpu-cycles:u,instructions:u
8583415.0,52555.0,29400578.0,41051820.0
6664426.0,83907.0,29474263.0,31024705.0
4813301.0,75035.0,28880101.0,22308319.0
8545290.0,84953.0,28615522.0,41987559.0
10243924.0,103033.0,30084798.0,49127613.0
10403859.0,148164.0,30040353.0,49137436.0
8083798.0,125653.0,30108330.0,38410525.0
10136665.0,132040.0,30045891.0,48279453.0
7467177.0,123077.0,30016555.0,35952284.0
6669633.0,132021.0,30093511.0,32354177.0
6595809.0,134825.0,30093277.0,32013529.0
6594113.0,140376.0,29907128.0,31924586.0
7766758.0,153745.0,29835293.0,37396015.0
8302129.0,155032.0,29997957.0,40225232.0
7899853.0,155611.0,29810288.0,38327112.0
7576852.0,154225.0,29871597.0,36693285.0
7629327.0,154883.0,29716001.0,37028863.0
6981399.0,148093.0,29696296.0,33853640.0
6689864.0,145649.0,29648417.0,32270248.0
6718511.0,146741.0,29593843.0,32444318.0
7137263.0,146981.0,29714462.0,34540679.0
7128011.0,151963.0,29462667.0,34523384.0
7092921.0,150790.0,29680877.0,34317883.0
6833279.0,148166.0,29587315.0,33030098.0
6769656.0,147448.0,29569716.0,32702011.0
6724559.0,142557.0,29441270.0,32497565.0
7439834.0,155253.0,29709500.0,35977764.0
7295629.0,155553.0,29599553.0,35342397.0
6939109.0,151357.0,29464874.0,33563206.0
6961500.0,150370.0,29485385.0,33658638.0
6891517.0,149147.0,29492556.0,33305561.0
6864674.0,148981.0,29246092.0,33287909.0
7226904.0,157062.0,29403795.0,35085844.0
6985241.0,152219.0,29274333.0,33873734.0
7109798.0,150627.0,29286339.0,34464239.0
7062404.0,148878.0,29151224.0,34219478.0
6962788.0,149360.0,29235398.0,33729368.0
6903629.0,146726.0,29234557.0,33468608.0
6795010.0,146468.0,29128886.0,32876442.0
6815308.0,145506.0,29221921.0,33021384.0
6979291.0,147447.0,29178715.0,33803366.0
6831001.0,147164.0,29073687.0,33087840.0
6912410.0,147866.0,29172929.0,33441425.0
6804343.0,147128.0,29234056.0,32942700.0
6672386.0,144080.0,29178346.0,32289242.0
6625666.0,141953.0,29170277.0,32062559.0
6974277.0,148675.0,29170629.0,33789116.0
6884968.0,147239.0,29156688.0,33362828.0
6697536.0,146326.0,29123708.0,32356440.0
6789447.0,144607.0,29085496.0,32821355.0
7054989.0,149570.0,29111599.0,34179836.0
6784322.0,145052.0,29037378.0,32804880.0
6834497.0,143692.0,29040574.0,33012637.0
6865067.0,147127.0,29095604.0,33191524.0
6790744.0,148003.0,29189026.0,32847263.0
6664854.0,143642.0,29131835.0,32189228.0
6797190.0,145772.0,29137313.0,32864920.0
6699527.0,145996.0,29187418.0,32415262.0
6661394.0,146964.0,29100182.0,32199395.0
6688911.0,146903.0,29108275.0,32258010.0
6640111.0,147105.0,29286934.0,32088215.0
6498400.0,144188.0,29132811.0,31324877.0
6390400.0,146184.0,29343110.0,30843179.0
6434661.0,144453.0,29280638.0,31014157.0
6314716.0,143749.0,29344362.0,30475239.0
6311695.0,144267.0,29390691.0,30408817.0
6224780.0,142240.0,29405077.0,30035247.0
6165828.0,141211.0,29521993.0,29656309.0
6075535.0,140957.0,29522855.0,29288657.0
6162727.0,141587.0,29450776.0,29617596.0
6150058.0,141387.0,29588925.0,29647177.0
5978879.0,137654.0,29533131.0,28752309.0
6107997.0,141398.0,29607056.0,29389386.0
5997399.0,139465.0,29687058.0,28875394.0
5928248.0,136355.0,29740376.0,28545351.0
5918418.0,136326.0,29703483.0,28413716.0
5850437.0,135458.0,29827450.0,28112582.0
5762893.0,133462.0,29833690.0,27713338.0
5755039.0,131261.0,29916185.0,27625055.0
5781468.0,130471.0,29945385.0,27761198.0
5692611.0,128259.0,29988277.0,27304001.0
5615014.0,128924.0,29855105.0,26944912.0
5616169.0,129283.0,29946126.0,26996407.0
5546701.0,127542.0,29902058.0,26642828.0
5573663.0,127154.0,29858329.0,26726902.0
5557057.0,127431.0,29937526.0,26645466.0
5442394.0,124105.0,29837379.0,26082347.0
5574979.0,126265.0,29797148.0,26720218.0
5510264.0,123718.0,29965950.0,26384483.0
5583344.0,126735.0,29920436.0,26703232.0
5427234.0,122681.0,29890985.0,26005663.0
5455405.0,125555.0,29999446.0,26106945.0
5518410.0,125616.0,29937109.0,26419971.0
5499829.0,125203.0,30044268.0,26364215.0
5487275.0,125451.0,30026743.0,26308070.0
5390715.0,129763.0,30030428.0,25800435.0
5417035.0,123064.0,30044006.0,25906042.0
5465306.0,123366.0,29839899.0,26186089.0
5514685.0,124157.0,30058346.0,26429250.0
5458204.0,124066.0,30005822.0,26141024.0
5460214.0,123742.0,29921790.0,26165828.0
5463771.0,124882.0,29960646.0,26185723.0
5474587.0,123682.0,30071434.0,26256667.0
5537687.0,124114.0,29951903.0,26535363.0
5474834.0,124980.0,30019157.0,26237033.0
5464991.0,123852.0,29929975.0,26185700.0
5526218.0,125525.0,30036677.0,26493254.0
5535538.0,125610.0,30029354.0,26573727.0
5456792.0,124283.0,29985415.0,26145663.0
5385231.0,121326.0,29996473.0,25798519.0
5374024.0,122698.0,29905515.0,25726634.0
5511790.0,125521.0,29968566.0,26442122.0
5441671.0,122681.0,29895403.0,26036468.0
5379684.0,121332.0,30001474.0,25756941.0
5493176.0,124892.0,29940377.0,26345716.0
5421929.0,121877.0,30048206.0,25991334.0
5466456.0,123747.0,30084175.0,26236972.0
5342764.0,120634.0,29911495.0,25589933.0
5383975.0,120981.0,30008880.0,25788773.0
5398170.0,122172.0,30032607.0,25893643.0
5368304.0,120216.0,29904958.0,25709021.0
5419678.0,121408.0,30023263.0,26010880.0
5480163.0,123575.0,30082952.0,26305883.0
